Target,TreatmentVariables,TableName,DAG,ModelName,CausalEstimate,RefutationNewEstimate,p_value,EstimationMethod,Version,ModelCreationDate,IdentifiedestimandFile,ModelURL,IdentifiedEstimandFile
GMV_cur,"oos, trf_avg, atc, latency, perfect_order",C:\Users\aman.jhakra\Documents\Causal as a Service\data\input\input_data.csv,"strict digraph {
GMV_cur;
oos;
trf_avg;
atc;
latency;
perfect_order;
oos -> GMV_cur;
trf_avg -> GMV_cur;
atc -> GMV_cur;
latency -> GMV_cur;
perfect_order -> GMV_cur;
}",C:\Users\aman.jhakra\Documents\Causal as a Service\data\..\model\GMV_cur_Causal_model_v1.pkl,142.54479208101267,0,0,backdoor.linear_regression,1,2023-12-28,,,GMV_cur_identified_estimand_v1.pkl
GMV_cur,"oos, trf_avg, atc, latency, perfect_order",C:\Users\aman.jhakra\Documents\Causal as a Service\data\input\input_data.csv,"strict digraph {
GMV_cur;
oos;
trf_avg;
atc;
latency;
perfect_order;
oos -> GMV_cur;
trf_avg -> GMV_cur;
atc -> GMV_cur;
latency -> GMV_cur;
perfect_order -> GMV_cur;
}",C:\Users\aman.jhakra\Documents\Causal as a Service\data\..\model\GMV_cur_Causal_model_v2.pkl,142.54479208101267,0,0,backdoor.linear_regression,2,2023-12-28,,,GMV_cur_identified_estimand_v2.pkl
GMV_cur,"oos, trf_avg, atc, latency, perfect_order",C:\Users\aman.jhakra\Documents\Causal as a Service\data\input\input_data.csv,"strict digraph {
GMV_cur;
oos;
trf_avg;
atc;
latency;
perfect_order;
oos -> GMV_cur;
trf_avg -> GMV_cur;
atc -> GMV_cur;
latency -> GMV_cur;
perfect_order -> GMV_cur;
}",C:\Users\aman.jhakra\Documents\Causal as a Service\data\..\model\GMV_cur_Causal_model_v3.pkl,142.54479208101267,0,0,backdoor.linear_regression,3,2023-12-28,,,GMV_cur_identified_estimand_v3.pkl
GMV_cur,"oos, trf_avg, atc, latency, perfect_order",C:\Users\aman.jhakra\Documents\Causal as a Service\data\input\input_data.csv,"strict digraph {
GMV_cur;
oos;
trf_avg;
atc;
latency;
perfect_order;
oos -> GMV_cur;
trf_avg -> GMV_cur;
atc -> GMV_cur;
latency -> GMV_cur;
perfect_order -> GMV_cur;
}",C:\Users\aman.jhakra\Documents\Causal as a Service\data\..\model\GMV_cur_Causal_model_v4.pkl,142.54479208101267,0,0,backdoor.linear_regression,4,2024-02-12,,,GMV_cur_identified_estimand_v4.pkl
GMV_cur,"oos, trf_avg, atc, latency, perfect_order",C:\Users\aman.jhakra\Documents\Causal as a Service\data\input\input_data.csv,"strict digraph {
GMV_cur;
oos;
trf_avg;
atc;
latency;
perfect_order;
oos -> GMV_cur;
trf_avg -> GMV_cur;
atc -> GMV_cur;
latency -> GMV_cur;
perfect_order -> GMV_cur;
}",C:\Users\aman.jhakra\Documents\Causal as a Service\data\..\model\GMV_cur_Causal_model_v5.pkl,142.54479208101267,0,0,backdoor.linear_regression,5,2024-02-12,,,GMV_cur_identified_estimand_v5.pkl
GMV_cur,"oos, trf_avg, atc, latency, perfect_order",C:\Users\aman.jhakra\Documents\Causal as a Service\data\input\input_data.csv,"strict digraph {
GMV_cur;
oos;
trf_avg;
atc;
latency;
perfect_order;
oos -> GMV_cur;
trf_avg -> GMV_cur;
atc -> GMV_cur;
latency -> GMV_cur;
perfect_order -> GMV_cur;
}",C:\Users\aman.jhakra\Documents\Causal as a Service\data\..\model\GMV_cur_Causal_model_v6.pkl,142.54479208101267,0,0,backdoor.linear_regression,6,2024-02-12,,,GMV_cur_identified_estimand_v6.pkl
GMV_cur,"oos, trf_avg, atc, latency, perfect_order",C:\Users\aman.jhakra\Documents\Causal as a Service\data\input\input_data.csv,"strict digraph {
GMV_cur;
oos;
trf_avg;
atc;
latency;
perfect_order;
oos -> GMV_cur;
trf_avg -> GMV_cur;
atc -> GMV_cur;
latency -> GMV_cur;
perfect_order -> GMV_cur;
}",C:\Users\aman.jhakra\Documents\Causal as a Service\data\..\model\GMV_cur_Causal_model_v7.pkl,142.54479208101267,0,0,backdoor.linear_regression,7,2024-02-12,,,GMV_cur_identified_estimand_v7.pkl
GMV_cur,"oos, trf_avg, atc, latency, perfect_order",C:\Users\aman.jhakra\Documents\Causal as a Service\data\input\input_data.csv,"strict digraph {
GMV_cur;
oos;
trf_avg;
atc;
latency;
perfect_order;
oos -> GMV_cur;
trf_avg -> GMV_cur;
atc -> GMV_cur;
latency -> GMV_cur;
perfect_order -> GMV_cur;
}",C:\Users\aman.jhakra\Documents\Causal as a Service\data\..\model\GMV_cur_Causal_model_v8.pkl,142.54479208101267,0,0,backdoor.linear_regression,8,2024-02-12,,,GMV_cur_identified_estimand_v8.pkl
GMV_cur,"oos, trf_avg, atc, latency, perfect_order",C:\Users\aman.jhakra\Documents\Causal as a Service\data\input\input_data.csv,"strict digraph {
GMV_cur;
oos;
trf_avg;
atc;
latency;
perfect_order;
oos -> GMV_cur;
trf_avg -> GMV_cur;
atc -> GMV_cur;
latency -> GMV_cur;
perfect_order -> GMV_cur;
}",C:\Users\aman.jhakra\Documents\Causal as a Service\data\..\model\GMV_cur_Causal_model_v9.pkl,142.54479208101267,0,0,backdoor.linear_regression,9,2024-02-12,,,GMV_cur_identified_estimand_v9.pkl
GMV_cur,"oos, trf_avg, atc, latency, perfect_order",C:\Users\aman.jhakra\Documents\Causal as a Service\data\input\input_data.csv,"strict digraph {
GMV_cur;
oos;
trf_avg;
atc;
latency;
perfect_order;
oos -> GMV_cur;
trf_avg -> GMV_cur;
atc -> GMV_cur;
latency -> GMV_cur;
perfect_order -> GMV_cur;
}",C:\Users\aman.jhakra\Documents\Causal as a Service\data\..\model\GMV_cur_Causal_model_v10.pkl,142.54479208101267,0,0,backdoor.linear_regression,10,2024-02-12,,,GMV_cur_identified_estimand_v10.pkl
